rayOrigin.x,rayOrigin.y,rayOrigin.z,dir.x,dir.y,dirr.z,finalPos.x,finalPos.y,finalPos.z
0.01140407,0.0004732209,-0.02794226,0.1362161,0.1572124,0.9781255,25.0129,28.85567,179.5
0.01061079,0.0004706879,-0.02788809,0.1355912,0.1567707,0.9782832,24.89339,28.76997,179.5
0.01235016,0.0004688416,-0.02800873,0.1351348,0.1566208,0.9783703,24.80917,28.73991,179.5
0.01325978,0.0004668732,-0.02807152,0.1348451,0.1567208,0.9783943,24.75632,28.75757,179.5
0.01334337,0.0004618836,-0.02807704,0.1345562,0.1574665,0.9783143,24.70543,28.89676,179.5
0.01339446,120.0005,-0.02808061,0.1344836,0.1577074,0.9782855,24.69288,148.9418,179.5
0.01299518,120.0004,-0.02799211,0.1247113,0.1494485,0.9808732,22.83875,147.3538,179.5
0.007856538,120.0003,-0.02760063,0.1148942,0.1419262,0.9831868,20.98727,145.9157,179.5
0.008460434,120.0003,-0.02764877,0.1092113,0.1394962,0.9841818,19.93003,145.4463,179.5
0.009352585,120.0003,-0.02771195,0.1053536,0.1384331,0.9847522,19.2161,145.2377,179.5
0.01124481,120.0003,-0.02784287,0.1018798,0.1367394,0.9853542,18.57335,144.9137,179.5
0.01222823,120.0003,-0.02790985,0.1001318,0.1353481,0.9857254,18.249,144.651,179.5
0.0116377,120.0003,-0.02786809,0.09883454,0.1347077,0.985944,18.00815,144.5289,179.5
0.009687958,120.0003,-0.02773145,0.09821209,0.1339093,0.986115,17.88975,144.3793,179.5
0.01341155,120.0003,-0.02798917,0.09773108,0.1332599,0.9862507,17.80348,144.2577,179.5
0.01364421,120.0003,-0.02800549,0.09723295,0.1327181,0.986373,17.71084,144.1561,179.5
0.01367787,120.0003,-0.02800823,0.09665899,0.1324063,0.9864713,17.60466,144.097,179.5
0.01339458,120.0003,-0.02798879,0.09650671,0.1322874,0.9865022,17.57611,144.0746,179.5
0.01343474,120.0003,-0.02799217,0.09625335,0.1322629,0.9865302,17.52954,144.0694,179.5
0.01343617,120.0003,-0.02799275,0.09569174,0.1324368,0.9865615,17.42679,144.1003,179.5
0.0134265,120.0003,-0.02799007,0.09508511,0.1324202,0.9866224,17.31532,144.0958,179.5
0.01343887,120.0003,-0.02799088,0.09420197,0.1324621,0.9867015,17.15326,144.1015,179.5
0.01362256,120.0003,-0.02800295,0.09352627,0.1326325,0.9867429,17.02979,144.1315,179.5
0.01365527,120.0003,-0.02800334,0.09315757,0.1326872,0.9867704,16.96227,144.1408,179.5
0.01341225,120.0003,-0.02798546,0.09290557,0.1326353,0.9868011,16.91565,144.1306,179.5
0.01365953,120.0003,-0.02800078,0.09283923,0.1323895,0.9868404,16.90316,144.0849,179.5
0.01360332,120.0003,-0.02799552,0.09288776,0.1321951,0.9868619,16.91156,144.049,179.5
0.01372446,120.0003,-0.02800218,0.0929606,0.1319774,0.9868842,16.92455,144.0089,179.5
0.01370487,120.0003,-0.02799739,0.09298496,0.1317226,0.9869159,16.92842,143.9617,179.5
0.01340828,120.0003,-0.02797431,0.09303495,0.131317,0.9869652,16.93637,143.8867,179.5
0.01321301,120.0003,-0.02795951,0.09297013,0.1310645,0.9870049,16.9237,143.8399,179.5
0.01307445,120.0003,-0.02794867,0.09308054,0.1309389,0.9870111,16.94354,143.8169,179.5
0.01306345,120.0003,-0.02794753,0.09293585,0.1309496,0.9870234,16.917,143.8185,179.5
0.01315675,120.0003,-0.02795372,0.09297071,0.1309828,0.9870157,16.92357,143.8248,179.5
0.01325185,120.0003,-0.02795648,0.09355934,0.1308807,0.9869736,17.03146,143.8072,179.5
0.01315363,120.0003,-0.02794646,0.09380668,0.130874,0.9869511,17.07673,143.8065,179.5
0.0128764,120.0003,-0.02792462,0.09388271,0.1310019,0.9869269,17.09071,143.8304,179.5
0.01263335,120.0003,-0.0279072,0.09387471,0.1311304,0.9869105,17.08929,143.8541,179.5
0.01259998,120.0003,-0.02790503,0.09369122,0.1314521,0.9868851,17.05631,143.9133,179.5
0.01267065,120.0003,-0.02790982,0.09354615,0.1317486,0.9868594,17.03044,143.9678,179.5
0.01299843,120.0003,-0.02793123,0.09319997,0.1317021,0.9868983,16.96712,143.9585,179.5
0.01327435,120.0004,-0.02795004,0.09299707,0.1314077,0.9869567,16.92949,143.9035,179.5
0.01340537,120.0004,-0.02796016,0.09274513,0.1312959,0.9869953,16.88313,143.8822,179.5
0.007924561,120.0002,-0.02767819,0.09481522,0.1256004,0.9875397,17.24466,142.8335,179.5
0.03084183,119.9998,-0.02946387,0.100192,0.08710271,0.9911482,18.17891,135.777,179.5
0.03372341,119.9997,-0.0299225,0.1080551,0.04203856,0.9932557,19.56456,127.5981,179.5
0.03552428,119.9992,-0.02919509,0.1170187,-0.003024227,0.9931251,21.18922,119.4525,179.5
0.03558214,119.9989,-0.0289083,0.1224614,-0.05876819,0.9907318,22.22661,109.3496,179.5
0.03561946,119.9988,-0.02876689,0.1244839,-0.08227019,0.9888051,22.63707,105.0618,179.5
0.03564607,119.9988,-0.02874785,0.1234482,-0.1023164,0.9870623,22.48864,101.3894,179.5
0.03562822,119.9989,-0.02877564,0.1236847,-0.1146104,0.9856808,22.56318,99.12408,179.5
0.02456477,119.999,-0.02847457,0.1223342,-0.1217147,0.9849974,22.32156,97.81493,179.5
-0.01262984,119.9995,-0.02737493,0.1136094,-0.1271473,0.985356,20.68648,96.83379,179.5
-0.01363356,119.9995,-0.02735759,0.1078543,-0.1309064,0.9855105,19.63385,96.15267,179.5
0.007049469,119.9992,-0.02799838,0.1088842,-0.133198,0.9850901,19.85067,95.72453,179.5
0.007678818,119.9992,-0.02800894,0.1095396,-0.1347541,0.9848058,19.97653,95.43384,179.5
