rayOrigin.x,rayOrigin.y,rayOrigin.z,dir.x,dir.y,dirr.z,finalPos.x,finalPos.y,finalPos.z
0.01177086,0.0001942749,-0.02964969,0.1019148,0.05250621,0.9934065,18.42995,9.489182,179.5
0.007686814,0.000459961,-0.02959378,0.1046155,0.05212467,0.9931458,18.91889,9.422958,179.5
0.01127176,0.0005432129,-0.02976093,0.1008001,0.08613637,0.9911709,18.2691,15.60233,179.5
0.01101856,0.0005539246,-0.02975716,0.0991976,0.08575458,0.9913657,17.97505,15.53014,179.5
0.01107808,0.0005511628,-0.02975984,0.09856174,0.08613624,0.9913961,17.85941,15.59877,179.5
0.009416627,0.0006397248,-0.02975815,0.09830082,0.08733358,0.9913172,17.81191,15.81695,179.5
-0.01639522,0.001789139,-0.02904505,0.1026005,0.08742378,0.9908735,18.57303,15.84146,179.5
-0.0247022,120.0021,-0.02876845,0.1060393,0.09337213,0.9899684,19.20531,136.935,179.5
-0.0313994,120.0024,-0.02857657,0.107955,0.1049798,0.9885975,19.57314,139.0667,179.5
-0.03201027,120.0025,-0.02852184,0.1116055,0.1043499,0.9882587,20.24241,138.9589,179.5
-0.03199022,120.0027,-0.02848343,0.1060381,0.05532514,0.9928218,19.14251,130.007,179.5
-0.02030681,120.0024,-0.02896144,0.1051052,0.06779299,0.9921477,18.99847,132.2696,179.5
-0.0104249,120.0019,-0.02926169,0.1031704,0.08024643,0.9914214,18.67194,134.5332,179.5
-0.01235388,120.002,-0.02919376,0.1006958,0.08975745,0.9908602,18.23224,136.2647,179.5
-0.02486937,120.0024,-0.02871878,0.1000214,0.09537518,0.9904036,18.10583,137.2909,179.5
-0.0311731,120.0027,-0.02854325,0.09982815,0.0958472,0.9903775,18.06496,137.3772,179.5
-0.03162509,120.0026,-0.02853584,0.1005551,0.1014996,0.9897406,18.208,138.4136,179.5
-0.03210379,120.0026,-0.02852356,0.09927824,0.1076213,0.9892226,17.98535,139.5342,179.5
-0.03209082,120.0026,-0.02852342,0.09946742,0.110158,0.9889244,18.02514,140.0006,179.5
-0.03202788,120.0026,-0.02852631,0.09949501,0.112249,0.9886864,18.03456,140.3851,179.5
-0.03198293,120.0026,-0.02852776,0.1000112,0.1131391,0.9885329,18.13115,140.5499,179.5
-0.03183858,120.0026,-0.02853326,0.09994952,0.1135242,0.988495,18.1208,140.6207,179.5
-0.03170627,120.0026,-0.02853737,0.1002423,0.1137428,0.9884402,18.17512,140.6615,179.5
-0.02969246,120.0025,-0.02859992,0.100657,0.1139351,0.9883759,18.25365,140.6977,179.5
-0.0140574,120.0019,-0.0290842,0.09866658,0.1120906,0.9887875,17.90033,140.3536,179.5
0.0003556214,120.0013,-0.02952638,0.09464852,0.1084425,0.9895867,17.17136,139.6748,179.5
0.002659088,120.0012,-0.02962267,0.0914975,0.1061782,0.9901285,16.59294,139.2533,179.5
0.006496872,120.001,-0.02972891,0.08844269,0.1036666,0.9906721,16.03409,138.7875,179.5
0.002572144,120.0011,-0.02949805,0.08787277,0.1024894,0.9908453,15.92408,138.571,179.5
-0.02823511,120.0024,-0.02862535,0.0930431,0.1056435,0.9900416,16.84368,139.1592,179.5
-0.03064879,120.0025,-0.02856561,0.0966275,0.1078827,0.9894567,17.50159,139.5769,179.5
-0.03147818,120.0025,-0.02854235,0.09937491,0.1095377,0.9890026,18.00754,139.8864,179.5
-0.03180718,120.0026,-0.02853435,0.1012911,0.1107869,0.988669,18.36126,140.1199,179.5
-0.03116982,120.0025,-0.02854769,0.1024767,0.1115106,0.9884654,18.58101,140.2555,179.5
-0.02888683,120.0024,-0.02859552,0.1027488,0.1115724,0.9884302,18.63338,140.2673,179.5
-0.0116622,120.0017,-0.02896483,0.100372,0.1099047,0.9888612,18.21099,139.955,179.5
-0.006467194,120.0014,-0.02906964,0.09814963,0.1080069,0.9892933,17.80494,139.6017,179.5
0.001510666,120.0011,-0.02924001,0.09583645,0.1060025,0.9897368,17.38537,139.229,179.5
0.009822343,120.0007,-0.02941713,0.09295045,0.1036072,0.9902655,16.8612,138.7841,179.5
0.009969529,120.0007,-0.02942023,0.09118901,0.1018229,0.9906143,16.53619,138.4541,179.5
0.009712555,120.0007,-0.02943543,0.08997683,0.1010304,0.9908063,16.31309,138.307,179.5
0.008769821,120.0008,-0.02943189,0.08932646,0.1005836,0.9909106,16.1926,138.2241,179.5
0.006862137,120.0009,-0.02941301,0.08912678,0.1001145,0.990976,16.15345,138.138,179.5
-0.0001862335,120.0012,-0.02931056,0.08940793,0.1005994,0.9909016,16.19854,138.2276,179.5
-0.0304756,120.0025,-0.02856291,0.09253177,0.1045847,0.990202,16.746,138.9642,179.5
-0.03186307,120.0026,-0.02851883,0.09470916,0.1075074,0.989683,17.14838,139.5044,179.5
-0.03203662,120.0026,-0.02851297,0.0958735,0.1093598,0.9893678,17.36496,139.8467,179.5
-0.03204167,120.0026,-0.02851212,0.09684746,0.1103346,0.9891647,17.5453,140.0278,179.5
-0.03198677,120.0026,-0.02851378,0.09708875,0.1112735,0.9890359,17.59144,140.2008,179.5
-0.03157131,120.0025,-0.02852773,0.09724458,0.112528,0.9888786,17.62295,140.4317,179.5
-0.009068253,120.0016,-0.02929419,0.09397254,0.1102221,0.9894545,17.04156,140.0006,179.5
0.00558339,120.001,-0.02980478,0.08959808,0.1064073,0.9902776,16.24903,139.2919,179.5
0.008019852,120.0009,-0.02989487,0.08663551,0.1028476,0.9909171,15.70425,138.6344,179.5
0.007492585,120.001,-0.02989144,0.08492347,0.1009558,0.9912598,15.38823,138.2854,179.5
0.006990067,120.001,-0.02987946,0.08413289,0.0996616,0.9914581,15.24149,138.0474,179.5
0.004991608,120.0011,-0.02983994,0.08374973,0.09894586,0.9915622,15.16851,137.916,179.5
0.003792954,120.0011,-0.029802,0.0837268,0.09848785,0.9916098,15.16243,137.8322,179.5
0.001868439,120.0012,-0.02975115,0.08380182,0.09831925,0.9916202,15.17393,137.8016,179.5
0.0003437805,120.0013,-0.02969808,0.08427749,0.09800228,0.9916112,15.25865,137.7444,179.5
0.001443283,120.0012,-0.02973915,0.08438159,0.09757528,0.9916445,15.27809,137.6665,179.5
0.00298085,120.0012,-0.02979839,0.08429994,0.09744437,0.9916644,15.26455,137.6424,179.5
0.006947953,120.001,-0.02994888,0.08390003,0.09669793,0.9917713,15.19449,137.5052,179.5
0.008950821,120.0009,-0.03002573,0.08315298,0.09556208,0.9919443,15.05864,137.2965,179.5
0.009749634,120.0009,-0.03006618,0.08308438,0.0946926,0.9920334,15.04568,137.1376,179.5
0.009956345,120.0009,-0.03007393,0.08327613,0.09433094,0.9920518,15.08031,137.0718,179.5
0.009869171,120.0009,-0.03007059,0.08337457,0.09380902,0.992093,15.09741,136.9767,179.5
0.009866776,120.0009,-0.03007047,0.08337991,0.09341718,0.9921296,15.09782,136.9051,179.5
0.01022325,120.0009,-0.03007074,0.08369727,0.0931551,0.9921275,15.15563,136.8577,179.5
0.01031441,120.0009,-0.03007363,0.08384632,0.09292117,0.9921368,15.18255,136.8152,179.5
0.01030841,120.0009,-0.03007337,0.08359434,0.09226125,0.9922197,15.13569,136.6944,179.5
0.009809861,120.0009,-0.03004645,0.08391219,0.0919496,0.9922218,15.19266,136.638,179.5
0.009718323,120.0009,-0.03004112,0.08446592,0.09168529,0.9921992,15.29311,136.5906,179.5
0.009755707,120.0009,-0.0300351,0.08476262,0.09153237,0.9921881,15.347,136.5631,179.5
0.009488709,120.0009,-0.03001645,0.08505749,0.09187469,0.9921312,15.40097,136.626,179.5
0.009344528,120.0009,-0.03000121,0.08506624,0.09229877,0.9920911,15.40304,136.7034,179.5
0.009016266,120.0009,-0.02998557,0.08499552,0.09276356,0.9920538,15.39048,136.7881,179.5
0.00798967,120.0009,-0.02993047,0.08479252,0.09376193,0.9919773,15.3539,136.9701,179.5
0.007589325,120.0009,-0.02991167,0.08434983,0.09424768,0.991969,15.27351,137.0582,179.5
0.007498261,120.0009,-0.02990592,0.08387817,0.09480385,0.991956,15.18825,137.1591,179.5
0.007560746,120.0009,-0.02989865,0.08345324,0.09513041,0.9919606,15.11134,137.2181,179.5
0.008227677,120.0009,-0.02991997,0.08316972,0.09522237,0.9919755,15.06047,137.2345,179.5
0.008948105,120.0009,-0.02994495,0.08284817,0.0951444,0.9920099,15.00247,137.2197,179.5
0.01016629,120.0008,-0.02998438,0.08162041,0.09467345,0.9921568,14.77931,137.1319,179.5
0.0105257,120.0008,-0.02999558,0.08077712,0.09420007,0.9922708,14.6254,137.0443,179.5
0.01087328,120.0008,-0.03000789,0.08007725,0.09388326,0.9923576,14.49786,136.9855,179.5
0.0111109,120.0008,-0.03000617,0.07965582,0.09332398,0.9924443,14.42059,136.8828,179.5
0.01097842,120.0008,-0.03000054,0.07939771,0.09294123,0.9925008,14.37295,136.8126,179.5
